Launcher Type,Configuration Name,Cores,Memory (GB),GPU?,Hourly Cost
JupyterLab,Medium-general-purpose-instance,2,4,-,$0.04
JupyterLab,Large-general-purpose-instance,2,8,-,$0.09
JupyterLab,Medium-compute-optimized-instance,1 core,2,-,TBA
JupyterLab,Large-compute-optimized-instance,2,4,-,$0.10
JupyterLab,Accelerated-instance-for-ML,4,16,GPU,TBA
Rstudio,Medium-general-purpose-instance,2,4,-,TBA
Rstudio,Large-general-purpose-instance,2,8,-,$0.09
Rstudio,Medium-compute-optimized-instance,1 core,2,-,TBA
Rstudio,Large-compute-optimized-instance,2,4,-,$0.10
Rstudio,Accelerated-instance-for-ML,4,16,GPU,$0.53
Rstudio,Extra-large-general-purpose-instance,4,16,-,$0.17
Rstudio,Compute-memory-balanced-large-instance,4,16,-,$0.19
Rstudio,Memory-optimized-large-instance,2,16,-,$0.13
Rstudio,Memory-optimized-extra-large-instance,4,32,-,$0.25
Rstudio,Memory-optimized-double-extra-large-instance,8,64,-,$0.50
Spyder,Large-general-purpose-instance,4,16,-,$0.17
Spyder,Extra-large-general-purpose-instance,8,32,-,$0.33
Spyder,Large-compute-optimized-instance,8,16,-,$0.41
Spyder,Extra-large-compute-optimized-instance,16,32,-,$0.82
Spyder,Extra-large-accelerated-instance,4,16,GPU,TBA
Stata,Medium-general-purpose-instance,2,4,-,$0.04
Stata,Large-general-purpose-Instance,2,8,-,TBA
Stata,Large-general-purpose-instance,4,16,-,$0.17
Stata,Extra-double-large-general-purpose-instance,8,32,-,$0.33
Stata,Large-compute-optimized-instance,8,16,-,$0.41
Stata,Extra-large-compute-optimized-instance,16,32,-,$0.82
Stata,Extra-large-general-purpose-instance,4,16,GPU,$1.01
VSCode,Medium-general-purpose-instance,2,4,-,TBA
VSCode,Large-general-purpose-instance,2,8,-,$0.09
VSCode,Medium-compute-optimized-instance,1 core,2,-,TBA
VSCode,Large-compute-optimized-instance,2,4,-,$0.10
VSCode,Accelerated-instance-for-ML,4,16,GPU,$0.53
VSCode,Accelerated-g4extralarge-instance-for-ML,48,192,GPU,$3.91
VSCode,Accelerated-g6extralarge-instance-for-ML,48,192,GPU,$4.60
VSCode,Extra-large-general-purpose-instance,4,16,-,$0.17
VSCode,Compute-memory-balanced-large-instance,4,16,-,$0.19
VSCode,Memory-optimized-large-instance,2,16,-,$0.13
VSCode,Memory-optimized-extra-large-instance,4,32,-,$0.25
VSCode,Memory-optimized-double-extra-large-instance,8,64,-,$0.50
sagemakerCanvas,SageMaker-Canvas-Default,-,-,-,TBA
sagemakerNotebook,Medium-instance-SageMaker,2,4,-,TBA
sagemakerNotebook,Large-instance-SageMaker,2,8,-,$0.08
sagemakerNotebook,Extra-large-instance-SageMaker,4,32,-,$0.17
sagemakerNotebook,ml.g4dn.xlarge,1 core,4,GPU,$0.74
